Internet,Language,Backend Framework,OS and General Knowledge,Relational Databases,NoSQL Databases,More about Databases,Scaling Databases,Learn about APIs,Caching,Web Security Knowledge,Testing,CI / CD,Software Design & Architecture,Design and Development Principles,Architectural Patterns,Search Engines,Message Brokers,Containerization vs Virtualization,GraphQL,WebSockets,Server Sent Events,Web Servers
HTTP| Browser| DNS| DomainName| hosting,rust| go| java| c#| php| ruby| python| javascript,Rocket| Gin| Echo| Spring| ASP.NET Core| Laravel| Symfony| Ruby on Rails|Django| Flask| Express.js|nest.js,terminal usage| POSIX basics|terminal command| OS,PostgreSQL| MySQL|MariaDB| MS SQL|Oracle,MongoDB| CouchDB| InfluxDB| TimeScale| Firebase| RethinkDB| Cassandra| HBase| Redis| DynamoDB| Neo4j,ORM| acid| n+1 Problem|transaction| Normalization|Failure Modes| Profiling Perfor,Database Indexes| Data Replication|Sharding Strategies| CAP Theorem,Rest api| json| soap| grpc| graphql|hateoas| open ai specs| authrentication|cookie| oauth| basic auth| token auth|jwt| smail| openId,Security,hashing algorithms| HTTPS|CORS| CSP| OWASP Risks|SSL/TLS| Server Security,Integration Testing| Unit Testing| Functional Testing,GitHub Actions|DevOps| CI/CD,Clean Code Principles|Programming Paradigms|Object Oriented Programming| Design Principles| Design Patterns|Architectural Principles|Architectural Styles| Architectural Patterns|Enterprise Patterns,gof 디자인 패턴| domain driven design|TDD| CQRS| Event Sourcing,Monolithic Apps|Microservices| SOA|Serverless| Service Mesh|Twelve Factor Apps,Elasticsearch| Solr,RabbitMQ| Kafka,Kubernetes| Docker| LXC,apollo|relay modern,WebSockets| 양방향 통신(full duplex communication),Server Sent Events,Nginx| Apache| Caddy| MS IIS
CS,,,CS,CS,,CS,,,,CS,,,CS,,,,,,,,,
