Language,Basic CS,Gradle,Andorid Concept,3rd Parties Library,Security,Testing,Dependency Management,Advanced CS,compose,RxJava
kotlin,OOP| Data Structures and Algorithms,Gradle,Lifecycle|Debugging|flexible fragments,Glide| Retrofit| Crashlytics| GSON,security,JUnit| Espresso,Dagger| Koin,Concurrency|Multithreading,Jetpack Compose UI ,RxJava| Coroutines
,CS,,,,,,,,,
