Learn a Programming Language,Operating Systems,Terminal,Web Servers,Containers,Cloud Providers,Networking| Security and Protocols,Serverless,Infrastructure Provisioning,Configuration Management,Learn some CI/CD Tool,Secret Management,Infrastructure Monitoring,Application Monitoring,Logs Management,Container Orchestration,Artifact Management,GitOps,Service Mesh
python| go| ruby| rust| node.js| java,Windows| Linux(Ubuntu| Debian| SUSE Linux|RHEL/Derivatives)| Unix(FreeBSD| OpenBSD|NetBSD),Editors| Scripting|Process Monitoring|Performance Monitoring| Networking Tools|Text Manipulation,ngnix| tomcat| apache|iis| caching server|load balancer|reverse Proxy|forward Proxy| firewall,LXC| Docker,AWS| Azure| Google Cloud|DIgital Ocean| Alibaba Cloud|Linode| Heroku| Vultr,FTP / SFTP| DNS| HTTP|HTTPS| SSL| TLS| SSH,cloudflare| aws lambda| azure functions|gcp functions| vercel| netlify,AWS CDK| CloudFormation|Pulumi| Terraform,Ansible| Chef| Puppet,Gitlab CI| Jenkins| GitHub Actions|Travis CI| Drone| Circle CI| TeamCity|Azure DevOps Services,vault| sops| cloud specific tool| sealed secrets,Zabbix| Prometheus|Datadog| Grafana,openTelemetrydatadog| appDynamics|jaeger| new relic,Elastic Stack| Loki,GKE / EKS / AKS|AWS ECS / Fargate|Docker Swarm|Kubernates,Artifactory| Nexus| Cloud Smith,argoCD| FluxCD,Istio| consul|linkerd| envoy
,CS,,,,,CS,,,,,,,,,,,,
